"t","mid_price"
1,5245
2,5245.5
3,5246.5
4,5247.5
5,5247.5
6,5247.5
7,5245
8,5245.5
9,5245.5
10,5245.5
11,5247
12,5247.5
13,5248.5
14,5249.5
15,5251
16,5250.5
17,5250.5
18,5251.5
19,5250.5
20,5250.5
21,5251.5
22,5250
23,5248.5
24,5249.5
25,5250.5
26,5251.5
27,5249
28,5248.5
29,5248.5
30,5249.5
31,5250
32,5251.5
33,5253
34,5254
35,5253.5
36,5253.5
37,5253.5
38,5252
39,5251.5
40,5251.5
41,5252.5
42,5252
43,5252.5
44,5252.5
45,5254.5
46,5254.5
47,5253.5
48,5253
49,5251.5
50,5252.5
51,5252
52,5252
53,5251.5
54,5253.5
55,5254
56,5254.5
57,5253
58,5252
59,5253.5
60,5253.5
61,5253.5
62,5252.5
63,5252.5
64,5252.5
65,5252
66,5250.5
67,5250.5
68,5250
69,5248.5
70,5247.5
71,5248.5
72,5248.5
73,5247.5
74,5246.5
75,5246.5
76,5246.5
77,5246
78,5247.5
79,5247
80,5247.5
81,5246.5
82,5247.5
83,5245.5
84,5247.5
85,5248.5
86,5246.5
87,5245
88,5245.5
89,5245.5
90,5245.5
91,5246.5
92,5246
93,5247
94,5246
95,5243.5
96,5244
97,5246.5
98,5245
99,5246.5
100,5245
101,5245.5
102,5244
103,5243.5
104,5241.5
105,5239.5
106,5241.5
107,5241.5
108,5241.5
109,5242.5
110,5243.5
111,5244.5
112,5244.5
113,5243.5
114,5243.5
115,5243.5
116,5241.5
117,5241.5
118,5241
119,5241.5
120,5242.5
121,5243
122,5241.5
123,5241.5
124,5241.5
125,5241.5
126,5240.5
127,5241.5
128,5240.5
129,5238.5
130,5239.5
131,5240.5
132,5239
133,5239.5
134,5238.5
135,5238
136,5238.5
137,5236.5
138,5238.5
139,5238.5
140,5236.5
141,5237
142,5236.5
143,5235.5
144,5235.5
145,5233.5
146,5234.5
147,5234.5
148,5234.5
149,5234.5
150,5234.5
151,5233.5
152,5234.5
153,5233.5
154,5233.5
155,5233.5
156,5231.5
157,5231.5
158,5231.5
159,5232
160,5233.5
161,5233.5
162,5231.5
163,5232.5
164,5230
165,5231
166,5232.5
167,5231.5
168,5231.5
169,5230.5
170,5229.5
171,5229.5
172,5229
173,5232.5
174,5231.5
175,5229
176,5232.5
177,5233.5
178,5233.5
179,5232
180,5233
181,5232.5
182,5231.5
183,5231.5
184,5230.5
185,5229.5
186,5228
187,5229.5
188,5227
189,5227.5
190,5228.5
191,5228.5
192,5229.5
193,5228.5
194,5228.5
195,5228.5
196,5227.5
197,5229
198,5229.5
199,5228.5
200,5226.5
201,5227
202,5226.5
203,5226.5
204,5226.5
205,5228.5
206,5228
207,5228
208,5227.5
209,5227
210,5227
211,5226
212,5227.5
213,5227
214,5228.5
215,5230.5
216,5229.5
217,5230.5
218,5228
219,5229.5
220,5228.5
221,5227.5
222,5228.5
223,5227.5
224,5228.5
225,5229.5
226,5230.5
227,5232
228,5230.5
229,5231.5
230,5231
231,5230.5
232,5230.5
233,5232.5
234,5231.5
235,5229
236,5231.5
237,5232
238,5231.5
239,5232.5
240,5232.5
241,5232.5
242,5232.5
243,5235.5
244,5234.5
245,5235.5
246,5235
247,5235.5
248,5234.5
249,5233.5
250,5234.5
251,5231.5
252,5231.5
253,5231.5
254,5233.5
255,5231
256,5233.5
257,5232.5
258,5231.5
259,5232.5
260,5230.5
261,5232
262,5232.5
263,5230.5
264,5231
265,5229.5
266,5229.5
267,5229.5
268,5230.5
269,5229.5
270,5231.5
271,5232.5
272,5232.5
273,5233.5
274,5235.5
275,5236.5
276,5235.5
277,5237.5
278,5238.5
279,5237
280,5237.5
281,5237.5
282,5239.5
283,5239.5
284,5237.5
285,5238.5
286,5239.5
287,5241
288,5242
289,5242.5
290,5239.5
291,5238.5
292,5239.5
293,5239.5
294,5239.5
295,5238.5
296,5240.5
297,5238.5
298,5241.5
299,5241.5
300,5240.5
301,5240.5
302,5237.5
303,5237.5
304,5237
305,5236.5
306,5235.5
307,5236.5
308,5234.5
309,5234.5
310,5234.5
311,5234.5
312,5234.5
313,5233
314,5232
315,5231.5
316,5231.5
317,5232.5
318,5234.5
319,5234.5
320,5236.5
321,5235.5
322,5234.5
323,5236
324,5236.5
325,5237
326,5237.5
327,5237.5
328,5238
329,5237
330,5239
331,5239.5
332,5240
333,5240
334,5239.5
335,5238.5
336,5237.5
337,5236.5
338,5235.5
339,5235.5
340,5235.5
341,5234.5
342,5232
343,5233
344,5234.5
345,5233.5
346,5234.5
347,5235
348,5235
349,5235.5
350,5235
351,5235.5
352,5235.5
353,5232.5
354,5232.5
355,5233.5
356,5233
357,5233.5
358,5234.5
359,5235.5
360,5234.5
361,5233.5
362,5234.5
363,5233.5
364,5231
365,5233.5
366,5233.5
367,5231
368,5233
369,5232.5
370,5233.5
371,5230.5
372,5232.5
373,5233.5
374,5232.5
375,5232.5
376,5231.5
377,5232
378,5231.5
379,5231.5
380,5231
381,5231.5
382,5230.5
383,5233
384,5232.5
385,5231.5
386,5231.5
387,5232.5
388,5231
389,5230.5
390,5234
391,5233.5
392,5232.5
393,5234.5
394,5234.5
395,5232.5
396,5233.5
397,5234.5
398,5235
399,5235
400,5234.5
401,5234
402,5233
403,5231.5
404,5233
405,5233.5
406,5233.5
407,5233.5
408,5232
409,5231.5
410,5233.5
411,5230.5
412,5230
413,5228.5
414,5227.5
415,5227.5
416,5228.5
417,5226
418,5228
419,5229.5
420,5228
421,5228.5
422,5229.5
423,5230.5
424,5232.5
425,5231.5
426,5231.5
427,5230.5
428,5231.5
429,5231.5
430,5231.5
431,5231
432,5231.5
433,5230.5
434,5231
435,5231.5
436,5229.5
437,5231.5
438,5232.5
439,5233.5
440,5234.5
441,5235.5
442,5236
443,5237.5
444,5239
445,5239.5
446,5239.5
447,5239.5
448,5240.5
449,5243.5
450,5244.5
451,5244.5
452,5244.5
453,5241.5
454,5240.5
455,5240
456,5243.5
457,5242
458,5244.5
459,5245.5
460,5247.5
461,5247.5
462,5248.5
463,5248.5
464,5245.5
465,5244
466,5246.5
467,5246
468,5247
469,5247.5
470,5245.5
471,5243.5
472,5243.5
473,5245.5
474,5245.5
475,5246
476,5246.5
477,5246.5
478,5244
479,5246.5
480,5245.5
481,5244.5
482,5243.5
483,5244.5
484,5245.5
485,5245.5
486,5244.5
487,5245.5
488,5245.5
489,5245.5
490,5243.5
491,5244
492,5244.5
493,5243.5
494,5243.5
495,5243.5
496,5244.5
497,5244.5
498,5245.5
499,5246.5
500,5247.5
501,5247.5
502,5247
503,5246.5
504,5246
505,5246.5
506,5245.5
507,5244.5
508,5244
509,5245
510,5243
511,5244.5
512,5244.5
513,5245.5
514,5245.5
515,5246.5
516,5246.5
517,5244.5
518,5245.5
519,5247.5
520,5246.5
521,5246.5
522,5246.5
523,5246.5
524,5247.5
525,5245.5
526,5246.5
527,5247.5
528,5246
529,5247.5
530,5245.5
531,5245.5
532,5245.5
533,5245.5
534,5245.5
535,5242.5
536,5245.5
537,5243.5
538,5245.5
539,5242.5
540,5244.5
541,5244.5
542,5246.5
543,5246.5
544,5243.5
545,5244.5
546,5243.5
547,5243.5
548,5244.5
549,5244.5
550,5243.5
551,5245.5
552,5246
553,5245.5
554,5245.5
555,5247.5
556,5245.5
557,5246
558,5245.5
559,5245.5
560,5246.5
561,5246.5
562,5245.5
563,5245.5
564,5245.5
565,5245.5
566,5246.5
567,5245.5
568,5246
569,5247.5
570,5246.5
571,5247
572,5247.5
573,5247.5
574,5246.5
575,5246.5
576,5246.5
577,5246.5
578,5247.5
579,5247.5
580,5246.5
581,5247.5
582,5248.5
583,5246
584,5245.5
585,5245.5
586,5245.5
587,5244.5
588,5244.5
589,5244.5
590,5245.5
591,5246.5
592,5246.5
593,5247
594,5247.5
595,5247
596,5246.5
597,5246.5
598,5246.5
599,5247
600,5247.5
601,5246
602,5246.5
603,5247.5
604,5247.5
605,5248.5
606,5248.5
607,5248.5
608,5246.5
609,5246.5
610,5246.5
611,5246.5
612,5245.5
613,5246.5
614,5245.5
615,5246.5
616,5247.5
617,5245.5
618,5245.5
619,5245
620,5244
621,5244.5
622,5245.5
623,5243.5
624,5243.5
625,5242.5
626,5243.5
627,5243.5
628,5243
629,5244
630,5242.5
631,5242.5
632,5242
633,5242.5
634,5242.5
635,5243.5
636,5244.5
637,5245.5
638,5243.5
639,5242.5
640,5243.5
641,5241.5
642,5241.5
643,5242.5
644,5242.5
645,5244.5
646,5243.5
647,5242.5
648,5243.5
649,5242.5
650,5239.5
651,5242.5
652,5244.5
653,5244.5
654,5243.5
655,5243.5
656,5243.5
657,5243.5
658,5242.5
659,5241.5
660,5242.5
661,5242.5
662,5243.5
663,5242
664,5241.5
665,5242
666,5242.5
667,5242.5
668,5242.5
669,5243.5
670,5243
671,5244
672,5245
673,5246.5
674,5244.5
675,5248.5
676,5247.5
677,5246.5
678,5248.5
679,5247
680,5247.5
681,5247.5
682,5246.5
683,5246.5
684,5245.5
685,5246.5
686,5246.5
687,5245.5
688,5245.5
689,5245
690,5245.5
691,5244.5
692,5244.5
693,5244.5
694,5245.5
695,5244.5
696,5243.5
697,5244.5
698,5244.5
699,5244.5
700,5243.5
701,5243.5
702,5242.5
703,5241.5
704,5242.5
705,5241.5
706,5242
707,5242.5
708,5242
709,5243
710,5241.5
711,5241.5
712,5241.5
713,5239.5
714,5240
715,5240.5
716,5240.5
717,5239
718,5240.5
719,5239
720,5242.5
721,5242.5
722,5243.5
723,5243.5
724,5243.5
725,5241.5
726,5239
727,5238.5
728,5238
729,5237
730,5237.5
731,5237.5
732,5238.5
733,5237.5
734,5238
735,5235.5
736,5236.5
737,5237
738,5236.5
739,5235
740,5235.5
741,5236.5
742,5235.5
743,5237
744,5235.5
745,5237.5
746,5237.5
747,5239.5
748,5239.5
749,5240
750,5239.5
751,5239.5
752,5240.5
753,5239.5
754,5240.5
755,5239.5
756,5238
757,5237
758,5237.5
759,5237.5
760,5238
761,5237.5
762,5238.5
763,5240.5
764,5239.5
765,5237.5
766,5236
767,5237.5
768,5235.5
769,5236.5
770,5236.5
771,5236.5
772,5237.5
773,5238.5
774,5238.5
775,5238.5
776,5238.5
777,5237.5
778,5237.5
779,5236.5
780,5236.5
781,5238.5
782,5239.5
783,5239.5
784,5239.5
785,5237
786,5241
787,5238.5
788,5239.5
789,5239.5
790,5237.5
791,5239
792,5238
793,5238.5
794,5239.5
795,5239.5
796,5240
797,5239
798,5240.5
799,5239.5
800,5238.5
801,5237.5
802,5238.5
803,5238.5
804,5237.5
805,5237.5
806,5237.5
807,5238
808,5238
809,5236.5
810,5235.5
811,5236.5
812,5236.5
813,5236.5
814,5237.5
815,5237.5
816,5239.5
817,5237.5
818,5237
819,5237.5
820,5238
821,5237.5
822,5237.5
823,5237.5
824,5237.5
825,5238.5
826,5237
827,5237.5
828,5236.5
829,5235.5
830,5233.5
831,5233.5
832,5233.5
833,5234
834,5234
835,5235.5
836,5235.5
837,5235.5
838,5235
839,5235.5
840,5234.5
841,5233.5
842,5231.5
843,5230.5
844,5232.5
845,5232.5
846,5233.5
847,5232
848,5234
849,5234.5
850,5235.5
851,5236.5
852,5236.5
853,5234.5
854,5235
855,5234.5
856,5236.5
857,5235.5
858,5234.5
859,5235.5
860,5235.5
861,5238.5
862,5237
863,5237.5
864,5237.5
865,5236.5
866,5236.5
867,5236.5
868,5235.5
869,5236.5
870,5236.5
871,5237.5
872,5238.5
873,5238.5
874,5239.5
875,5240.5
876,5240.5
877,5240.5
878,5240.5
879,5241.5
880,5241.5
881,5240.5
882,5240.5
